site_id,once_married_percentage,agree_percentage,agree,legal_vote,legal_population,population
花蓮縣光復鄉,0.6102900930487137,0.8089285714285714,4530,5600,11417,12789
花蓮縣豐濱鄉,0.6306818181818182,0.7734643734643735,1574,2035,4395,4752
花蓮縣瑞穗鄉,0.5997600274254371,0.8155041930865208,3987,4889,10279,11668
花蓮縣富里鄉,0.6154519801498491,0.7964884277733439,2994,3759,9065,10277
花蓮縣秀林鄉,0.5127674258109041,0.7852512155591572,4845,6170,12562,15939
花蓮縣萬榮鄉,0.5217323570649633,0.8089887640449438,2376,2937,5269,6419
花蓮縣卓溪鄉,0.5272906080970333,0.8211968276856525,2278,2774,4947,6101
澎湖縣馬公市,0.5532981951764894,0.7567204301075269,19142,25296,53655,62610
澎湖縣湖西鄉,0.5978484308619981,0.7852486496554293,4216,5369,12741,14594
澎湖縣白沙鄉,0.6246056782334385,0.7979539641943734,2808,3519,8625,9827
澎湖縣西嶼鄉,0.6361240867169721,0.7818336162988115,1842,2356,7382,8349
澎湖縣望安鄉,0.6294173829990449,0.7836065573770492,1434,1830,4628,5235
澎湖縣七美鄉,0.6216993464052287,0.7373225152129818,727,986,3374,3825
基隆市中正區,0.5843429456164119,0.7432627526467758,15445,20780,45545,51670
基隆市七堵區,0.5732029303484437,0.7259437141894169,17231,23736,46256,53782
基隆市暖暖區,0.5706776457184287,0.7167539267015707,12321,17190,33225,38619
基隆市仁愛區,0.5696546992911045,0.7255254937258432,13703,18887,36738,43730
基隆市中山區,0.5801721591628338,0.7247623574144487,15249,21040,41856,47398
基隆市安樂區,0.5699686489902058,0.711141060197664,25328,35616,70396,82294
基隆市信義區,0.5780259010292051,0.7154774507728139,16896,23615,46014,52662
新竹市東區,0.5382667025412171,0.6797019053472649,61929,91112,163757,215566
新竹市北區,0.5627608304379644,0.7105859212016451,47686,67108,123122,151679
新竹市香山區,0.5760938895267254,0.7298590273452981,25783,35326,64896,78390
嘉義市東區,0.5536801967613608,0.7165728002954482,38806,54155,100647,121162
嘉義市西區,0.5485351959853519,0.7322931195683828,47777,65243,120906,147460
臺北市松山區,0.5748753050529407,0.650645653698585,63084,96956,169278,205702
臺北市信義區,0.5856378073999803,0.6637358543286919,71262,107365,190444,223406
臺北市大安區,0.5757099885702445,0.645903887895135,91356,141439,252645,308843
臺北市中山區,0.5764765358064291,0.6449617874023791,69454,107687,195148,229456
臺北市中正區,0.5678427672955975,0.6575250192455735,47831,72744,128292,159000
臺北市大同區,0.5687365328109696,0.6544466961230524,39399,60202,107557,127625
臺北市萬華區,0.5854337747820446,0.6773507916481968,59594,87981,164020,189603
臺北市文山區,0.5735821626083971,0.6624455514276778,86838,131087,227211,273762
臺北市南港區,0.5787129119750144,0.6604327986725663,38210,57856,101907,121670
臺北市內湖區,0.5658406075935275,0.6437826339199381,86554,134446,236824,287429
臺北市士林區,0.577764671394271,0.6589835308145168,88429,134190,241854,286544
臺北市北投區,0.5741981434810512,0.6597835508981522,76876,116517,213250,255532
高雄市鹽埕區,0.5858514485223825,0.7121079793568876,8969,12595,21617,24059
高雄市鼓山區,0.5564356718260509,0.7164834839721306,48435,67601,114979,140133
高雄市左營區,0.5548782965581698,0.7260357727621298,70061,96498,161367,196872
高雄市楠梓區,0.5589082703689542,0.7330808052423933,65220,88967,153132,185687
高雄市三民區,0.5622108866484997,0.7170330317594948,121735,169776,289519,340913
高雄市新興區,0.580674870669384,0.7145393349853904,19319,27037,44355,51032
高雄市前金區,0.5924490328351534,0.722172008621289,10387,14383,23928,26831
高雄市苓雅區,0.5753737149863246,0.723890200642324,64689,89363,146786,169648
高雄市前鎮區,0.5710311139428693,0.7357467326753938,68512,93119,161797,188340
高雄市旗津區,0.5754577983582404,0.72910927456382,9528,13068,24860,28506
高雄市小港區,0.5696136729596429,0.7398523264445053,56814,76791,132733,157742
高雄市鳳山區,0.5603125286841586,0.739777162566942,130402,176272,300510,359519
高雄市林園區,0.5672534707313582,0.7527155359692136,24254,32222,59129,69870
高雄市大寮區,0.5804965264496846,0.7562742372137264,41344,54668,97309,112421
高雄市大樹區,0.5811276244397263,0.769303671189146,15423,20048,36772,42390
高雄市大社區,0.5870419604669981,0.7350478468899522,12290,16720,30046,34604
高雄市仁武區,0.5741897963372636,0.7503885827327964,31863,42462,73611,87694
高雄市鳥松區,0.6021273246531291,0.7288492080525389,16980,23297,39191,44469
高雄市岡山區,0.5683449532970145,0.7574167093798052,36943,48775,81244,97103
高雄市橋頭區,0.590996015936255,0.7512955974842768,14932,19875,32565,37650
高雄市燕巢區,0.5994299128101945,0.7561674470612901,10820,14309,26012,29820
高雄市田寮區,0.6998184103925129,0.8062418725617685,2480,3076,6671,7159
高雄市阿蓮區,0.581094284318515,0.7526691758199554,9799,13019,24534,28658
高雄市路竹區,0.5798089002245993,0.7546671996801919,18878,25015,43850,52538
高雄市湖內區,0.5910250385983755,0.7582769668921324,10650,14045,25729,29794
高雄市茄萣區,0.5755259397121871,0.7588915557495091,10434,13749,26212,30089
高雄市永安區,0.6106118340642749,0.7643180881747013,5565,7281,12001,13909
高雄市彌陀區,0.5945875753168502,0.7789249924081385,7695,9879,16487,19252
高雄市梓官區,0.5803561491374513,0.7717277486910995,14003,18145,31025,35940
高雄市旗山區,0.6015769944341373,0.7733786039017092,13439,17377,31996,36652
高雄市美濃區,0.6601833842734093,0.8003713006443158,14658,18314,35311,39589
高雄市六龜區,0.6179766597109514,0.7938961553705906,4006,5046,11501,12939
高雄市甲仙區,0.6294390972452705,0.7916334661354582,1987,2510,5417,6026
高雄市杉林區,0.6457821110640102,0.8042969580940226,3781,4701,10607,11795
高雄市內門區,0.6529057283369121,0.8045173870653234,4951,6154,13002,14437
高雄市茂林區,0.5085255767301906,0.8199052132701422,865,1055,1615,1994
高雄市桃源區,0.5339828346091394,0.833890214797136,1747,2095,3498,4311
高雄市那瑪夏區,0.5209656925031766,0.8476190476190476,1424,1680,2424,3148
新北市板橋區,0.5571779313626876,0.695120365883924,176457,253851,463411,554742
新北市三重區,0.5533634332574787,0.692069012547736,121782,175968,329846,385826
新北市中和區,0.5744243440989513,0.7025200810007444,134952,192097,355978,412486
新北市永和區,0.5678884476566952,0.6930373530154632,74085,106899,187798,221098
新北市新莊區,0.5454334369030578,0.6974232623903937,132191,189542,344981,417754
新北市新店區,0.5883314418441523,0.7015984319355106,101656,144892,264053,302231
新北市樹林區,0.5533417415980777,0.7054362507589933,56928,80699,152102,183946
新北市鶯歌區,0.550931554752724,0.7166998282864073,26295,36689,71645,86361
新北市三峽區,0.55096701778622,0.7206241264940862,34546,47939,94291,115820
新北市淡水區,0.57588385148298,0.6932187150689306,52094,75148,147272,173502
新北市汐止區,0.5790410651507218,0.6865921156670055,60784,88530,173831,200535
新北市瑞芳區,0.5949677354809665,0.7440133655095601,12024,16161,35036,39982
新北市土城區,0.5546240834779085,0.696763875823142,74066,106300,200783,236901
新北市蘆洲區,0.5404108636481036,0.6923050147355719,59667,86186,167457,201332
新北市五股區,0.5596033777757184,0.7149321266968326,26544,37128,72443,86329
新北市泰山區,0.5511637952939981,0.7162213351204872,24580,34319,64252,78708
新北市林口區,0.550040424778118,0.6830888994021762,31765,46502,86203,110081
新北市深坑區,0.5719302699500719,0.6980234260614934,7628,10928,20624,23634
新北市石碇區,0.6274738067520372,0.7533132530120482,2501,3320,6861,7731
新北市坪林區,0.6571385359951604,0.7725490196078432,2167,2805,5891,6612
新北市三芝區,0.5942205587953695,0.7300021445421403,6808,9326,20119,22978
新北市石門區,0.6056954189021874,0.7429406037000974,3815,5135,10528,12115
新北市八里區,0.5712743535701434,0.7202209414024976,11996,16656,32970,38906
新北市平溪區,0.6907415345049293,0.8042704626334519,1582,1967,4321,4666
新北市雙溪區,0.6512415349887133,0.7795580110497238,2822,3620,7999,8860
新北市貢寮區,0.6711649459393545,0.7547532578508865,3533,4681,11279,12301
新北市金山區,0.6026453568476164,0.7487253380625138,6755,9022,18978,21774
新北市萬里區,0.6255664310313577,0.7598633458232312,6895,9074,19297,22068
新北市烏來區,0.5754892823858341,0.7591397849462366,2118,2790,5264,6438
臺中市中區,0.5398617262612078,0.7464358452138493,5864,7856,14696,18514
臺中市東區,0.5638464063012799,0.7356438634553594,26787,36413,64291,76175
臺中市南區,0.5526955526955527,0.7082234163816968,43492,61410,103643,125874
臺中市西區,0.551159052014728,0.6930805019555506,37391,53949,95040,115698
臺中市北區,0.5583198357244997,0.7089508523226524,48410,68284,124621,147557
臺中市西屯區,0.5418580238813804,0.7020556907062621,72436,103177,183814,228630
臺中市南屯區,0.5378858033736182,0.6987299945769381,55403,79291,135448,170618
臺中市北屯區,0.551788955842705,0.7164981461424743,90632,126493,227720,279297
臺中市豐原區,0.5544499326448137,0.7397756752632382,58173,78636,136658,167025
臺中市東勢區,0.5995900986946833,0.7947900273337198,19191,24146,43181,50256
臺中市大甲區,0.5543574879227053,0.7467445121776709,26092,34941,63069,77625
臺中市清水區,0.5629389146001704,0.7529630841239086,29922,39739,71528,86862
臺中市沙鹿區,0.5482307422485359,0.7413447994662318,30000,40467,74207,94079
臺中市梧棲區,0.54876498677385,0.7404849721415679,18872,25486,47040,58218
臺中市后里區,0.5709173893199452,0.7424975798644724,18408,24792,44962,54775
臺中市神岡區,0.5672414055485383,0.7596794001680564,23506,30942,54565,65711
臺中市潭子區,0.5547029884719876,0.7482175226586103,37149,49650,89487,108952
臺中市大雅區,0.545206909147837,0.7405092917661377,31639,42726,77189,95815
臺中市新社區,0.6005045572916666,0.7855538922155688,8396,10688,20860,24576
臺中市石岡區,0.5899973254880985,0.7752683674891956,5561,7173,12880,14956
臺中市外埔區,0.5879304995345951,0.7743298560676086,11728,15146,27059,32230
臺中市大安區,0.5978097264753205,0.7751556866601115,7095,9153,16520,19267
臺中市烏日區,0.5588149445417396,0.7380570695735813,25322,34309,61705,75372
臺中市大肚區,0.5614053450561719,0.7619282971524161,20041,26303,47457,57324
臺中市龍井區,0.5523218544065233,0.7435994414057954,25559,34372,63584,77998
臺中市霧峰區,0.573141925356985,0.7599645984132503,24043,31637,55225,65619
臺中市太平區,0.5524844590929952,0.7448185595235236,62027,83278,157926,191752
臺中市大里區,0.5421868517331121,0.7419863035720027,69234,93309,171769,212104
臺中市和平區,0.6317748524738992,0.8287965616045845,4628,5584,9498,11015
臺南市新營區,0.567891054794697,0.7236829645528866,22927,31681,64949,77617
臺南市鹽水區,0.6103169915337665,0.7551456310679612,7778,10300,22121,25395
臺南市白河區,0.636078989503647,0.7607555089192025,7975,10483,24894,28105
臺南市柳營區,0.6225418533364773,0.7663299663299663,6828,8910,18804,21205
臺南市後壁區,0.6471772466375396,0.7677038626609443,7155,9320,20841,23346
臺南市東山區,0.6483548200885126,0.7764586651223396,5363,6907,18471,20788
臺南市麻豆區,0.5994577496610936,0.7292913900076194,13400,18374,37963,44260
臺南市下營區,0.6271951831409934,0.7578344612181156,7279,9605,20947,23916
臺南市六甲區,0.5992414664981036,0.7085785423268447,6261,8836,19144,22148
臺南市官田區,0.613352725907854,0.7439353099730458,6624,8904,18675,21314
臺南市大內區,0.6591358667360749,0.7958219348420791,3200,4021,8654,9605
臺南市佳里區,0.5857353214968772,0.7464371933650027,19170,25682,50407,59083
臺南市學甲區,0.6045977011494252,0.7649139579349904,8001,10460,22567,25665
臺南市西港區,0.5999189955447549,0.7551727652634798,7409,9811,21564,24690
臺南市七股區,0.6248020411754355,0.7830402416657676,7258,9269,19950,22732
臺南市將軍區,0.6441212367778681,0.7379804721295267,5971,8091,17754,19664
臺南市北門區,0.6480861460501313,0.7949975478175576,3242,4078,9925,11051
臺南市新化區,0.5845452871870398,0.7469421317709939,14534,19458,37296,43456
臺南市善化區,0.5792558405489299,0.7138644542183127,14283,20008,39950,48968
臺南市新市區,0.5704645238224294,0.7339727410398789,11632,15848,30386,36898
臺南市安定區,0.5941672407571433,0.7509089559991096,10120,13477,26104,30483
臺南市山上區,0.6278529451961187,0.7676258992805756,2134,2780,6511,7317
臺南市玉井區,0.6315639065514038,0.785934819897084,4582,5830,12357,13997
臺南市楠西區,0.6483170808430324,0.7944354403025392,2941,3702,8528,9537
臺南市南化區,0.6591013296652911,0.78631995477671,2782,3538,7786,8724
臺南市左鎮區,0.6931604266889771,0.8294812532100667,1615,1947,4418,4781
臺南市仁德區,0.5851762039062706,0.7424602232248873,25012,33688,64632,75878
臺南市歸仁區,0.5705305322865957,0.727897312152289,21719,29838,57387,68403
臺南市關廟區,0.6061188251389981,0.7553970701619122,11757,15564,29913,34353
臺南市龍崎區,0.7136420525657071,0.7935883014623172,1411,1778,3713,3995
臺南市永康區,0.5577480618669937,0.7161764409410721,71049,99206,195001,234891
臺南市東區,0.5463838926174497,0.6953472772730045,57015,81995,153359,186250
臺南市南區,0.5688008716272511,0.7267360600264823,39517,54376,108650,124824
臺南市北區,0.5601080901053651,0.7096356385698217,41640,58678,110906,132112
臺南市安南區,0.5528644837105429,0.7266061840399926,58866,81015,159654,193438
臺南市安平區,0.5496817671284163,0.697248042157652,19053,27326,55379,66775
臺南市中西區,0.5582918622948303,0.7070143120306079,24947,35285,65261,78167
桃園市桃園區,0.5530134003424979,0.6962692802782232,123326,177124,359790,447302
桃園市中壢區,0.5609748994692559,0.7246565386599146,123638,170616,334402,412063
桃園市大溪區,0.5699636401960267,0.7494445566552211,29684,39608,78285,94885
桃園市楊梅區,0.5657471534217631,0.7564775191980773,51619,68236,137917,170380
桃園市蘆竹區,0.5553034358575044,0.7163930080616239,45943,64131,129252,164384
桃園市大園區,0.5658722823695097,0.7375781598928093,26423,35824,73900,90888
桃園市龜山區,0.5654737812206163,0.7074387782668806,44517,62927,131702,160591
桃園市八德區,0.5664398263088656,0.7296437262120172,58470,80135,165065,202198
桃園市龍潭區,0.5733468642175766,0.759405734997074,40228,52973,101574,123175
桃園市平鎮區,0.5584553822235571,0.738376325367938,69987,94785,183560,226412
桃園市新屋區,0.5983539930908351,0.7677346570397112,17013,22160,41461,49210
桃園市觀音區,0.5676237417975593,0.7451177323959379,20031,26883,55149,67358
桃園市復興區,0.5814069516048561,0.857703081232493,4593,5355,9766,12026
